item_name,platinum,quantity,seller
Telos Boltor,25,1,Kycklinggull1
Frost Prime Set,90,1,ephenk
Catalyzer Link,3,2,Ahtih12
Targeting Subsystem,10,1,joacoelalfa
Strun Wraith Receiver,9,1,Monosteffer7324
Tectonic Fracture,8,1,Narutinn
Mantis Set,14,1,luiz_eduardo
Acid Shells,22,4,Angeluslul
Nightwatch Napalm,18,3,HappiNakir
Quasar Drill,5,1,Yishi_
Comet Blast,5,1,Esi_of_Hasir
Nebula Bore,5,1,Esi_of_Hasir
Kaszas Blade,9,1,Monosteffer7324
Velocitus Receiver,9,1,WekroM
Fluctus Barrel,9,1,Riddancex8
Fluctus Limbs,8,1,WekroM
Fluctus Stock,8,1,WekroM
Decurion Barrel,9,1,IFEELBLOOD
Hydroid Prime Set,90,3,lllood
Cleanse Orokin,25,2,zzzyolozzz
Kappa Beacon,80,4,LondoTheGreat
Star Crimzian,1,50,Orth
Virtuos Strike,3,10,ShadowMageAlpha
Hunter Adrenaline,4,1,WekroM
Viper Wraith,54,55,KxFRESH
Infested Ship Bridge Scene,199,1,Bartyde
Lua Nursery Scene,149,1,Bartyde
Corpus Gas City Conduit Scene,149,1,Bartyde
Grineer Settlement Reactor Scene,199,1,Bartyde
Corpus Ice Planet Wreckage Scene,149,1,Bartyde
Eidolon Madurai Lens,20,10,Lysiohn
Eidolon Vazarin Lens,20,1,Meshocheck
Eidolon Unairu Lens,15,1,norigamiwolf
Zephyr Prime Chassis Blueprint,7,2,Setsuna_x3
Pax Soar,15,5,Orth
Redeemer Prime Blade,3,1,LaMambaBamba
Akjagara Prime Receiver,7,1,GranitKislota
Kitgun Riven Mod (Veiled),2,2,PeaterPita
Spectrosiphon,14,1,Ragnargh
Wolf Sledge Head,2,93,UltimateGrox
Wolf Sledge Set,23,1,akilespop
Orb Vallis Scene,93,1,MaximBlum
Zhuge Prime Grip,5,1,NicknameLB
Freeze Force,14,1,huppeldaaf
Swirling Tiger,3,8,Ahtih12
Quick Thinking,4,2,sleepcall
Wyrm Prime Blueprint,12,1,IFEELBLOOD
Spring-Loaded Blade,20,39,Waka
Kinetic Diversion,10,1,nihilucid
Power Throw,1,31,Erodori
Malignant Force,9,1,makubigo
Superior Defenses,5,1,Big-Life
Energy Inversion,2,6,Ahtih12
Shattering Justice,10,1,VeridicalSeeker
Fast Hands,8,1,Kanekiwi8
Polar Magazine,3,1,Ahtih12
Rifle Amp,18,1,Azrael_17
Spare Parts,2,11,Erodori
No Return,3,22,ToxicZombie2008
Vaporize,3,60,BiNGO-BAG
Vicious Spread,2,1,chrxmexrei
Enemy Sense,3,5,RevantheCrusader
Blind Rage,13,2,xexu987
Rifle Ammo Mutation,5,1,SpreadThatBootyhole
Imperator Vandal Barrel,10,1,RealSamurai
Orthos Prime Blade,2,1,HeadHuncho704
Loki Prime Systems Blueprint,29,1,everbus
Naramon Lens,2,21,ShadowMageAlpha
Coaction Drift,6,1,Lacroxer
Shotgun Savvy,5,6,lilaxell
Volcanic Edge,7,2,CrimSomnia
Odonata Prime Harness Blueprint,9,1,Monosteffer7324
Odonata Prime Systems Blueprint,5,2,Bree_ze
Point Strike,1,1,Lyfidious
Soaring Strike,30,39,Waka
Pummel,4,4,Ryuooki
Velocitus Stock,10,2,Killuaxa
Rathbone Handle,10,1,TxHUNTERx
Rathbone Head,9,5,Lord_Lothric
Latron Wraith Barrel,19,1,PedroBazote
Heated Charge,2,15,Ahtih12
System Reroute,5,1,Zunraaa
Gorgon Wraith Receiver,5,2,CarboTurbo
Calculated Shot,99,1,Bartyde
Vigor,5,1,Pichulosauriox
Hikou Prime Pouch,9,1,GeffyJeffy
Reaper Prime Blueprint,10,1,eazyduzit2000
Arcane Thrak Helmet,70,1,Bad.Warden
Primed Point Blank,50,1,tobiwolf
Power Of Three,7,1,sleepcall
Rhino Prime Neuroptics Blueprint,12,1,krestikbuy
Disarming Purity,15,1,happypig778
Gorgon Wraith Stock,3,2,luiz_eduardo
Ballistica Prime String,8,1,jamerakanis
Crossing Snakes,1,1,ArtemisMagus
Rejuvenation,14,1,Azrael_17
Dig,4,1,ShanghaiPH
Shredder,5,30,BiNGO-BAG
Continuous Misery,2,6,Ahtih12
Vasto Prime Set,30,1,ephenk
Arcane Avalon Helmet,150,1,Mipit
Thermite Rounds,45,1,Tiphondius
Arcane Flux Helmet,120,1,lowlifecanine
Telos Akbolto,25,1,GuroWho
Arcane Aura Helmet,200,1,Han-Chuang_K
Sancti Castanas,30,3,nihilucid
Rift Strike,4,2,Acro
Vulcan Blitz,10,1,Unevyr
Arcane Gambit Helmet,150,1,Kirouna
Arcane Chlora Helmet,180,1,Adree1
Arcane Esprit Helmet,75,1,lowlifecanine
Arcane Trickery,2,1,ShanghaiPH
Oberon Prime Neuroptics Blueprint,25,1,legolas351
Volt Prime Neuroptics Blueprint,30,1,xd_Buresz
Arcane Phoenix Helmet,200,1,Parmageddon
Ballistica Prime Lower Limb,6,1,Shaddock223
Volt Prime Chassis Blueprint,10,1,AmberDuskDragon
Marquise Veridos,1,37,WhiteWolfhz
Arcane Reverb Helmet,149,1,Han-Chuang_K
Explosive Legerdemain,12,4,LordOfBurek
Smite Orokin,15,5,HappiNakir
Arcane Hemlock Helmet,300,1,Adree1
Vampire Leech,13,1,Seijuki
Zhuge Prime Blueprint,5,1,chucklemeowdoge
Ninkondi Prime Chain,4,1,fireprime1234
Zhuge Prime Receiver,7,1,Choclified
Zhuge Prime Set,59,1,SalsaPicante
Wukong Prime Neuroptics Blueprint,6,4,Setsuna_x3
Ruinous Extension,20,2,HeiMiXiaoBw
Savagery,10,2,Unevyr
Pistol Gambit,1,52,ToxicZombie2008
Gleaming Blight,11,1,PlatinumFarmerPrime
Ember Prime Neuroptics Blueprint,14,1,voltagepanda1
Lingering Torment,2,16,Big-Life
Hammer Shot,110,1,AoNZayne
Primed Shotgun Ammo Mutation,70,1,Abel_thesecond
Arcane Velocity,10,1,kinjakou
Nyx Prime Blueprint,13,1,Deathbunnies
Dera Vandal Stock,19,1,Aiaes
Karak Wraith Blueprint,15,1,paraliminals
Nyx Prime Systems Blueprint,7,1,Valisis
Swing Line,10,1,Boss58496
Dual Kamas Prime Set,100,1,-Kard
Measured Burst,15,1,DragonCarol
Safeguard Switch,13,1,Rocketh1
Prisma Shade,60,1,EternalDamnedAkatsuki
Gas City Lobby Scene,15,2,Resmini
Overextended,15,2,GGTrash
Protect,5,1,ChicaoInsano
Total Eclipse,11,1,Ragnargh
Arcane Pulse Helmet,240,1,Kirouna
Vigilante Pursuit,5,1,WekroM
Purging Slash,10,2,Kanneuwu
Arcane Mag Gauss Helmet,700,1,Mipit
Ancient Fusion Core,2000,5,broke
Furax Wraith Right Gauntlet,5,2,Shortyboi
Auger Strike,30,1,Az9991
Nyx Prime Neuroptics Blueprint,60,2,Wart1r
Rhino Prime Blueprint,19,1,coolerjungelul
Steady Hands,2,12,Erodori
Tigris Prime Receiver,6,1,Santhony97
Energy Conversion,70,4,zMadonna
Arcane Resistance,4,1,taufiq9955
Lethal Torrent,19,2,Zollikami
War Blade,4,1,kazemon
Detect Vulnerability,50,2,ShadowMageAlpha
Elemental Sandstorm,15,1,Fachita
Steel Fiber,4,10,RevantheCrusader
Magazine Extension,9,10,divdes
Concealed Explosives,2,5,Ahtih12
Primed Ravage,50,1,ProjectZenith
Depleted Reload,2,2,DarkLightQ
Helios Prime Carapace,4,1,TrapChloe
Wyrm Prime Systems,30,1,Bree_ze
Trinity Prime Neuroptics Blueprint,10,1,HaysGamerZ
Mind Freak,14,1,ShadowMageAlpha
Fang Prime Handle,2,1,TheBassWarrior
Streamline,2,7,Ryuooki
Insulation,10,1,KMLCLGR
Pressurized Magazine,5,1,Frostvali
Ambush Optics,10,1,Idontwannabeu1337
Nyx Prime Chassis Blueprint,10,1,GotPutInASpliff
Capacitance,10,5,KastarTroy
Shell Compression,5,2,Schizobia
Loki Prime Chassis Blueprint,18,1,Diuglas
Bore,8,1,Ahtih12
Lightning Dash,4,1,Big-Life
Mag Prime Chassis Blueprint,8,1,SirJonas.
Snipetron Vandal Set,40,1,PreSucrose
Battering Maneuver,5,3,coast98
Piercing Step,9,1,vbfgkdntm
Fireball Frenzy,12,6,Reaperr_18
Lasting Purity,10,1,DankPandaz888
Energy Siphon,9,1,a73984621
Stalk,5,6,Ryuooki
Magazine Warp,10,20,ivan-general357
Infiltrate,10,1,Sunhawkk
Coiling Viper,1,5,Erodori
Primed Pressure Point,50,5,iori-guts
Cold Snap,2,10,Ahtih12
Hell's Chamber,2,3,Ryuooki
Stockpiled Blight,9,1,Erza323
Nami Skyla Prime Handle,7,1,TheRavox
Fracturing Wind,1,10,Big-Life
Ammo Drum,1,25,ChicaoInsano
Sovereign Outcast,5,88,Dent
Gladiator Might,15,1,Saikei7019
Heavy Impact,5,61,Modern_Patriot
Thunderbolt,2,2,HashBrain
Pool Of Life,13,1,tobiwolf
Entropy Burst,8,1,ElVolpi
Fatal Attraction,4,1,WekroM
Seismic Palm,2,2,Acro
Pressure Point,1,620,BiNGO-BAG
Modified Munitions,4,1,Raidibotti
Natural Talent,9,7,Mixenn
Flechette,4,20,Big-Life
Shimmering Blight,3,7,Cousinit117
Justice Blades,10,1,o1ken
Buzz Kill,10,1,Deathbunnies
Pyrana Prime Blueprint,24,1,You.Have
Pyrana Prime Receiver,5,2,neonmacska
Pyrana Prime Barrel,4,1,TrapChloe
Destreza Prime Set,49,1,URbonnie
Primed Expel Grineer,50,30,BrayanStearms
Primed Expel Corpus,70,6,Mammon_Prime
Primed Expel Infested,50,1,CookieMonsterPrime69
Primed Expel Orokin,198,11,_____-----_____-_-
Flame Gland,30,5,skybigbig
Smooth Phasmin,1,59,CentrelinkCrusader
Arcane Pulse,4,3,DreamJuno
Sudden Justice,15,1,DragonCarol
Blood Rush,10,2,SPEEEDBOOOOOOOOOST
Shrapnel Shot,10,10,BluberNuget
Coolant Leak,10,2,mcaorrkn
Primed Heated Charge,80,6,Mammon_Prime
Neutron Star,13,2,adixonfreeuse
Skull Shots,10,1,ShadowPrime321
Loki Prime Neuroptics Blueprint,14,1,Setsuna_x3
Vigilante Fervor,8,1,snowballpee
Ankyros Prime Blade,8,2,MavizzDave
Ankyros Prime Gauntlet,15,1,Galaxyangelz
Bo Prime Blueprint,15,5,LvyAura1995
Silva & Aegis Prime Guard,20,1,AmaryllisHippeastrum
Vicious Frost,10,4,neutreN
Jagged Edge,2,5,Ryuooki
Shield Disruption,20,1,Odeila
Magus Vigor,3,5,Orth
Shotgun Barrage,3,1,Ahtih12
Arcane Swindle Helmet,350,1,Lemoncia
Gladiator Vice,13,1,wcjkjkj
Arcane Meridian Helmet,200,1,mr.Whiskeyy
Legendary Fusion Core,90,1,vektor555
Tigris Prime Stock,5,2,LuisAngel0502
Spinning Needle,2,1,ArtemisMagus
Snipetron Vandal Stock,20,1,Deadstar414
Wildfire,3,1,Pichulosauriox
Bane Of Grineer,2,6,Ahtih12
Scimitar Avionics Blueprint,6,1,ResidentSchleeper
Reflex Guard,2,1,ArtemisMagus
Everlasting Ward,15,1,SuperLink968
Ash Prime Neuroptics Blueprint,11,1,FlameRose
Jolt,45,71,A-Akaza-
Vectis Prime Stock,10,1,ChillNinjaEsq
Stunning Speed,2,6,Erodori
Primed Continuity,45,3,Mr.shuijun
Bo Prime Handle,10,1,javar2406
Crash Course,3,3,Ryuooki
Vital Systems Bypass,15,1,Renormon
Singularity,10,1,lLany
Lethal Momentum,4,1,xexu987
Primed Bane Of Infested,55,1,semilia2009
Primed Bane Of Corpus,20,3,Jonbars
Carrier Prime Blueprint,8,1,Aleatoria
Vulpine Mask,1,3,ArtemisMagus
Primed Bane Of Grineer,50,2,Jonbars
Vectis Prime Barrel,10,2,B4lllZy
Tactical Pump,2,6,Ahtih12
Arcane Menticide Helmet,90,4,Han-Chuang_K
Arcane Aurora Helmet,75,1,lowlifecanine
Soma Prime Blueprint,8,1,Irmaon
Unleashed,4,1,Ahtih12
Vasto Prime Barrel,10,1,TwistedFox.7c
Arcane Chorus Helmet,250,1,Parmageddon
Vasto Prime Blueprint,8,5,xLuanHenrique
Entropy Flight,20,10,ArxDurusMaximus
Saryn Prime Set,80,4,Hong.Kong_Doll
Poppin' Vert,15,5,Junthis
Magus Repair,7,21,_Zontik1_
Magus Glitch,15,5,Orth
Perfect Balance,15,8,Junthis
Strain Consume,10,20,Drakariss88
Zaw Riven Mod (Veiled),1,2,Bives27
Wolf Sledge Blueprint,8,1,Kycklinggull1
Magus Overload,10,5,Orth
Molecular Fission,10,1,tramaqdoodle
Wolf Sledge Motor,9,4,Asriel_Dreemurr_2016
Wild Frenzy,12,1,jonnysonny
Napalm Grenades,10,6,sahstream666
Tipedo Prime Handle,24,3,7owel
Stradavar Prime Set,39,1,crlx123
Equinox Prime Blueprint,15,2,MfSilou
Bronco Prime Barrel,2,1,OralFixations
War Hilt,4,7,lilaxell
Nova Prime Systems Blueprint,14,1,Mr.Chemist
Frost Prime Blueprint,48,1,MAIsPET
Bronco Prime Blueprint,2,1,TheBassWarrior
Astral Twilight,9,9,BatzoPrime
Snap Shot,10,10,coast98
Burston Prime Receiver,2,1,Wildrage18444444
Fang Prime Blade,2,1,borritoeater69
Vauban Prime Neuroptics Blueprint,28,1,--LG--Cablown
Hikou Prime Stars,6,1,TexnoLogic
Intruder,1,6,lostdoge08
Prisma Angstrum,45,1,Voufeeda
Phaedra Stock,14,2,MASTER_LYX
Scorch,11,1,ShadowPrime321
Entropy Spike,8,1,Ishynn
Eleventh Storm,3,2,Ahtih12
Nova Prime Neuroptics Blueprint,20,1,Valagoth
Nova Prime Chassis Blueprint,59,1,zyzy20
Prism Guard,13,3,AoNZayne
Trick Mag,1,9,lostdoge08
Nova Prime Blueprint,18,1,Metro-cop
Deceptive Bond,9,1,ChicaoInsano
Frost Prime Neuroptics Blueprint,7,1,Jayiishim123234
Arcane Squall Helmet,440,1,-r3tro-
Calculated Redirection,1,9,lostdoge08
Charged Shell,2,21,Ryuooki
Cleanse Corpus,2,6,Ahtih12
Searing Steel,34,1,_BAO_BAO_
Accelerated Deflection,1,3,Ryuooki
Clashing Forest,2,6,ReinaldoRock
Primal Rage,13,1,ZenunUmbra
Celestial Stomp,11,1,HexMahi
Secura Penta,40,1,Japaezs
Razor Shot,4,50,Big-Life
Creeping Terrify,13,1,ZythOwO
Trinity Prime Blueprint,14,1,phantomcheesecake
Grim Fury,3,1,Acro
Ayatan Orta Sculpture,4,7,Zee-WF
Energy Channel,2,5,Erodori
Hallowed Reckoning,10,1,Kigano182
Convulsion,4,3,DreamJuno
Arcane Fury,14,7,Yaoji123
Rapid Resilience,4,1,BlackAlbinoBoots
Pistol Pestilence,5,1,AmberDuskDragon
Primed Morphic Transformer,39,1,GranitKislota
Frail Momentum,3,1,fox.h
Pathogen Rounds,4,7,Ryuooki
Arcane Aegis,10,2,Skrelpy25
Sudden Impact,9,1,vbfgkdntm
Arcane Consequence,2,3,ATA_Seco75
Tempered Blade,4,1,WekroM
Smite Corpus,3,1,Ahtih12
Arcane Energize,20,1,Sadfold
Fanged Fusillade,8,1,FcsUchiha
Gladiator Resolve,5,2,Zollikami
Ghost,2,10,Ahtih12
Rime Rounds,40,4,Fierano
Vulkar Wraith,100,1,Spartan-721
Ayatan Piv Sculpture,5,3,kozhaki
Negation Armor,10,1,_JetWorld_
Blunderbuss,3,4,RevantheCrusader
Sybaris Prime Barrel,31,1,saminsrule
Centaur Aegis,14,1,Frithiof
Cephalon Suda Augment Mod,10,3,ChevChelios44
Banshee Prime Chassis Blueprint,21,1,klusek2
Chilling Grasp,5,10,DreamJuno
Wukong Prime Chassis Blueprint,9,1,6Re6aper6
Blazing Steel,5,1,WekroM
Fired Up,2,9,Ryuooki
Shattering Storm,9,2,Slashrude
Fear Sense,3,2,Big-Life
Bullet Dance,24,1,thebudderwrench
Twin Vipers Wraith Blueprint,19,1,Aiaes
Split Chamber,3,12,Lychnitis
North Wind,2,40,Ahtih12
Shotgun Scavenger,10,1,DragonCarol
Synoid Gammacor,30,1,Kor_Gyuni
Helios Prime Set,45,5,paladinjack
Rakta Ballistica,25,1,idontshower420
Hydroid Prime Neuroptics Blueprint,19,1,EmErDogi2
Greedy Pull,10,5,AlexSnow30
Silva & Aegis Prime Set,48,1,TheDrRAT
Sanctuary,2,2,Acro
Tether Grenades,3,1,ShanghaiPH
Aviator,3,6,saminsrule
Swooping Falcon,3,2,ArtemisMagus
Constitution,10,1,scp0964357
Smite Infusion,14,1,huppeldaaf
Kavasa Prime Kubrow Collar Set,25,1,delta9180
Latron Prime Set,84,1,DieguittoArm
Lex Prime Set,10,1,Sth3alter
Odonata Prime Set,39,16,MehO.oVerse
Gun Glide,2,1,Erodori
Deft Tempo,15,1,DragonCarol
Double Tap,30,1,WaRsDoOmGoD
Final Act,15,2,DragonCarol
Final Tap,15,1,Deadstar414
Hydraulic Chamber,13,2,Killer2611992
Hydraulic Gauge,15,1,xd_Buresz
Loose Hatch,80,2,Kirouna
Narrow Barrel,4,1,Lathary_
Strun Wraith Barrel,15,1,IGoonedToYourFrame
Eidolon Zenurik Lens,75,2,EternalDamnedAkatsuki
Destreza Prime Handle,5,1,ntNebby
Enhanced Durability,4,1,WekroM
Holster Amp,10,1,wordnA
Arcane Strike,7,63,Kapeika6
Sinister Reach,3,9,Ahtih12
Vectis Prime Set,75,1,zyzy20
Carving Mantis,2,3,ArtemisMagus
Primed Pack Leader,70,2,OKizanO
Arcane Nullifier,3,1,xexu987
Rhino Prime Set,55,1,zyzy20
Sicarus Prime Set,40,1,sahstream666
Grinloked,10,3,xXNikisoXx
Arcane Victory,3,15,JoosePrime
Boltor Prime Receiver,9,1,Xx_Your_DEATH_xX
Boltor Prime Stock,8,1,Ad4er1
Synoid Heliocor,30,1,BraindeadJimmy
Steel Meridian Augment Mod,10,3,ChevChelios44
Tigris Prime Barrel,5,1,KILLALLCOPS
Eject Magazine,3,3,Erodori
Plan B,15,1,DragonCarol
Burning Wasp,2,41,ReinaldoRock
Sharpened Bullets,9,1,ShanghaiPH
Soma Prime Receiver,12,1,Rerinar
Reaping Spiral,2,2,Erodori
Soma Prime Stock,32,1,CarboTurbo
Strafing Slide,2,3,leekac
Scimitar Set,15,1,Nm4dwlker23
Surplus Diverters,150,1,heatcleafrecords
Cataclysmic Continuum,15,1,ZenunUmbra
Braton Prime Set,7,1,TrapChloe
Silva & Aegis Prime Hilt,7,2,Ragnargh
Hydroid Prime Chassis Blueprint,8,1,FlameRose
Aklex Prime Blueprint,5,1,xXxM4L4KxXx
Aklex Prime Set,30,1,Norimo
Ballistica Prime Blueprint,18,1,CurtainMh
Tranquil Cleave,4,3,CSBradley
Link Vitality,5,1,ShanghaiPH
Pack Leader,2,3,Ahtih12
Soul Survivor,9,1,DemmoTheEnjoyer
Thumper,1,17,lostdoge08
Rush,5,21,KaBoomPrime
Infected Clip,2,17,chevalot
Cleanse Infested,5,1,fox.h
Blaze,46,1,FcsUchiha
Vacuum,3,5,RevantheCrusader
Energy Generator,59,1,phoenixparasol
Frost Jaw,9,1,S1aaneshG
Shock Collar,28,1,xd_Buresz
Thrash Landing,20,1,gogohappy
Motus Impact,3,2,Ahtih12
Aero Vantage,4,4,DownloadMoreRAM
Motus Setup,3,1,DownloadMoreRAM
Gale Kick,15,1,Unevyr
Motus Signal,3,10,DreamJuno
Deck 12 Scene,99,1,Bartyde
Ninkondi Prime Blueprint,3,1,Bencooo
Zhuge Prime Barrel,18,1,dimoon006
Ninkondi Prime Handle,20,1,VDust
Ninkondi Prime Set,60,5,sabrac9
Wukong Prime Set,80,5,SakuyaEX
Scindo Prime Handle,7,1,Gurren4702
Vile Precision,2,1,Big-Life
Parallax Scope,5,30,BiNGO-BAG
Vitality,1,13,lostdoge08
Sniper Scavenger,10,1,CLIKBAITGOD
Sunika Kubrow Imprint,8,1,Aakiii_
Adarza Kavat Imprint,9,1,Lychnitis
Rubico Prime Barrel,5,1,KanyeVest
Stormbringer,2,100,BiNGO-BAG
Arcane Eruption,2,1,DrTommyGUNking
Arcane Vespa Helmet,500,1,--WA--Ramadan
Escape Velocity,14,3,its_elek
Expel Infested,4,1,Sunhawkk
Gas City Cloud Vista Scene,10,2,TheEdouardu77
Combustion Rounds,5,1,CSBradley
Sniper Ammo Mutation,4,7,RevantheCrusader
Loki Prime Blueprint,10,2,ButtCrackFungus
Seeking Force,4,4,Ryuooki
Target Cracker,3,9,Ryuooki
Fleeting Expertise,8,1,fox.h
Critical Delay,10,1,SG-Annie
Provoked,4,1,Erza323
Spoiled Strike,5,3,niunhappy04
Incendiary Coat,2,7,Acro
Arcane Coil Helmet,350,1,Adree1
Augur Accord,5,2,SQKaede
Breach Loader,5,1,WekroM
Dual Kamas Prime Blueprint,5,1,IFEELBLOOD
Gaia's Tragedy,1,10,Erodori
Latron Prime Barrel,15,1,-GF-Yaromi
Karak Wraith Barrel,10,1,MARViN_vv
Zenurik Lens,5,20,EvilWithin07
Agility Drift,2,4,Erodori
Bite,60,1,SakuyaEX
Afterburn,10,2,Gasparotto
Rising Storm,10,1,TzlWudi
Ember Prime Set,80,3,Thayzinho_X
Redirection,1,12,lostdoge08
Fang Prime Set,6,1,Bicudo60
Chilling Globe,10,1,pcthegame
Mag Prime Set,90,1,ephenk
Exothermic,10,2,Tomzli
Nekros Prime Neuroptics Blueprint,29,1,Varitelj
Eagle Eye,4,2,DownloadMoreRAM
Arc Coil,28,1,TH-Ghost
Chaos Sphere,12,1,Alphafighters
Ammo Case,1,16,lostdoge08
Euphona Prime Set,25,1,Bree_ze
Blade Of Truth,8,1,Scooben
Focus Energy,7,1,Vivrin
Hawk Eye,5,20,coast98
Boar Prime Blueprint,10,1,Kromann2300
Oberon Prime Set,75,2,DeathRice1
Centaur Blade,10,1,norigamiwolf
Sweeping Serration,7,1,RisunIrada
Agkuza Blade,15,4,_..Spawn.._
Link Redirection,5,4,KaBoomPrime
Tiberon Prime Blueprint,5,1,Prototipogamers
Prisma Dual Cleavers,56,4,rocky2B
Directed Convergence,10,1,slayermj12
Saryn Prime Blueprint,14,1,TheOzzer
Primed Heavy Trauma,90,1,Opendia
Arcane Awakening,2,19,RealSamurai
Gamma Beacon,99,1,QUARANTNE
Arcane Ultimatum,3,11,JoosePrime
Dera Vandal Blueprint,7,2,ChillNinjaEsq
Prisma Obex,60,1,TrueCatch
Bo Prime Set,70,1,Wasamii
Boar Prime Set,85,1,anmi000
Ballistica Prime Receiver,5,1,Hurkisq
Boltor Prime Set,59,2,unf_
Strun Wraith Stock,19,1,Aiaes
Strun Wraith Set,60,1,Xemin0
Kogake Prime Set,65,1,zz0e
Kogake Prime Gauntlet,14,1,Ragnargh
Zephyr Prime Blueprint,12,1,Setsuna_x3
Lato Vandal Set,339,3,--IR--AmirMeiChiLu
Lato Vandal Blueprint,60,1,Wings.O.Flame
Lato Vandal Barrel,214,1,7owel
Braton Vandal Set,330,1,Nichder_
Grineer Settlement Artillery Scene,4,6,BigBubbaJukes
Kuva Fortress Crevice Scene,5,3,Kettumasa
Grineer Sealab Centrifuge Scene,5,30,kazemon
Lua Balcony Scene,5,1,TubbyTacoSlap
Reawaken,60,1,Waka
Valkyr Prime Neuroptics Blueprint,7,1,Souljester33
Centaur Handle,13,2,_..Spawn.._
Augur Message,4,10,DreamJuno
True Punishment,7,1,Ragnargh
Entropy Detonation,10,1,Rolozenno
Rending Crane,9,1,Cousinit117
Air Recon,5,14,kelppSK
Venka Prime Blueprint,5,1,KLOUDDY01
Euphona Prime Blueprint,4,1,Chlebek3214
Onorix Handle,9,1,dextromxthorphan
Point Blank,2,2,Ryuooki
Reflection,5,1,DeangelPrime
Stinging Thorn,10,2,Alphafighters
Shotgun Amp,5,1,EmberEye_
Magus Anomaly,9,5,Orth
Dual Kamas Prime Handle,8,4,kileer-GB-
Virtuos Surge,8,1,Z3rrgy
Marked Target,9,1,Scooben
Empowered Blades,70,1,korVin40
Kavasa Prime Buckle,20,1,Ugadayk4
Strain Eruption,35,13,Biadetes456
Stand United,8,1,MaxAltair
Kavasa Prime Band,5,4,hsohsoprime
