item_name,platinum,quantity,seller
Emergence Dissipate,1,111,ConjointArchon
Emergence Renewed,1,35,ConjointArchon
Sarofang Handle,1,2,TheBassWarrior
Gunsen Prime Blueprint,1,2,TheVeganTeacher
Masseter Prime Handle,1,1,fireprime1234
Acceltra Prime Blueprint,1,1,Wildkip1312
Sevagoth Prime Systems Blueprint,1,1,borritoeater69
Meso A7 Relic,1,16,JunkieCiti
Lith A7 Relic,1,3,lostdoge08
Immuno Shield,1,68,Ren_of_Breath
Instant Secure,1,11,Ren_of_Breath
Kitgun Riven Mod (Veiled),2,2,PeaterPita
Wolf Sledge Head,2,93,UltimateGrox
Energy Inversion,2,6,Ahtih12
Spare Parts,2,11,Erodori
Vicious Spread,2,1,chrxmexrei
Orthos Prime Blade,2,1,HeadHuncho704
Naramon Lens,2,21,ShadowMageAlpha
Heated Charge,2,15,Ahtih12
Continuous Misery,2,6,Ahtih12
Arcane Trickery,2,1,ShanghaiPH
Lingering Torment,2,16,Big-Life
Steady Hands,2,12,Erodori
Concealed Explosives,2,5,Ahtih12
Depleted Reload,2,2,DarkLightQ
Fang Prime Handle,2,1,TheBassWarrior
Streamline,2,7,Ryuooki
Cold Snap,2,10,Ahtih12
Hell's Chamber,2,3,Ryuooki
Thunderbolt,2,2,HashBrain
Seismic Palm,2,2,Acro
Jagged Edge,2,5,Ryuooki
Spinning Needle,2,1,ArtemisMagus
Bane Of Grineer,2,6,Ahtih12
Reflex Guard,2,1,ArtemisMagus
Stunning Speed,2,6,Erodori
Tactical Pump,2,6,Ahtih12
Bronco Prime Barrel,2,1,OralFixations
Bronco Prime Blueprint,2,1,TheBassWarrior
Burston Prime Receiver,2,1,Wildrage18444444
Fang Prime Blade,2,1,borritoeater69
Charged Shell,2,21,Ryuooki
Cleanse Corpus,2,6,Ahtih12
Clashing Forest,2,6,ReinaldoRock
Energy Channel,2,5,Erodori
Arcane Consequence,2,3,ATA_Seco75
Ghost,2,10,Ahtih12
Fired Up,2,9,Ryuooki
North Wind,2,40,Ahtih12
Sanctuary,2,2,Acro
Gun Glide,2,1,Erodori
Carving Mantis,2,3,ArtemisMagus
Burning Wasp,2,41,ReinaldoRock
Reaping Spiral,2,2,Erodori
Strafing Slide,2,3,leekac
Pack Leader,2,3,Ahtih12
Infected Clip,2,17,chevalot
Vile Precision,2,1,Big-Life
Stormbringer,2,100,BiNGO-BAG
Arcane Eruption,2,1,DrTommyGUNking
Incendiary Coat,2,7,Acro
Agility Drift,2,4,Erodori
Arcane Awakening,2,19,RealSamurai
Point Blank,2,2,Ryuooki
Akbronco Prime Link,2,1,PreFree
Firewalker,2,1,Ahtih12
Toxic Flight,2,3,Acro
Charged Chamber,2,10,Ahtih12
Adhesive Blast,2,3,HashBrain
Finishing Touch,2,15,ToxicZombie2008
Mobilize,2,9,Ahtih12
Tainted Clip,2,2,Moloch_Dwarf
Radiant Zodian,2,134,antonio02dj
Undying Will,2,1,Erodori
Iron Phoenix,2,5,Ryuooki
Speed Trigger,2,7,lostdoge08
Arrow Mutation,2,1,Erodori
Paris Prime Blueprint,2,1,Larizzl
Flailing Branch,2,4,Acro
Orthos Prime Blueprint,2,1,LuisAngel0502
Bane Of Corpus,2,22,Dak_1993
Life Strike,2,6,Ryuooki
Handspring,2,1,Hallowed_Deception
Paris Prime Grip,2,1,wordnA
Tainted Mag,2,1,anveraxus
Magnum Force,2,1,Ryuooki
Arcane Tempo,2,10,phantasmalwordsmith
Unairu Lens,2,25,ShadowMageAlpha
Stealth Drift,2,4,Erodori
Diamond Skin,2,6,lostdoge08
Territorial Aggression,2,1,Acro
Swipe,2,10,Big-Life
Ice Storm,2,1,Pichulosauriox
Vazarin Lens,2,5,Broker121
Sinking Talon,2,4,Acro
Reflex Coil,2,19,ToxicZombie2008
Shocking Touch,2,18,Ahtih12
Lex Prime Blueprint,2,1,_Master_Baiter_
Hellfire,2,8,Ahtih12
Molten Impact,2,20,Big-Life
Orthos Prime Handle,2,1,TheVeganTeacher
Tainted Shell,2,1,chrxmexrei
Fever Strike,2,3,Ahtih12
Radian Sentirum,2,268,antonio02dj
Fatal Acceleration,2,13,Ahtih12
Ayatan Amber Star,2,100,DullahanHollow
Guardian Derision,2,1,Hallowed_Deception
Proton Jet,2,1,QuixoteGrimmXite
Fast Deflection,2,29,Drakariss88
Warhead,2,6,Ahtih12
Charm,2,2,Ahtih12
Medi-Pet Kit,2,4,Frostvali
Braton Prime Barrel,2,3,Volaenyr
Pain Threshold,2,2,Frostvali
Paris Prime Lower Limb,2,1,TheVeganTeacher
Hollow Point,2,1,Ryuooki
Serration,2,30,_R0SSA_
Arcane Healing,2,1,ShanghaiPH
Quick Return,2,17,ToxicZombie2008
Arcane Warmth,2,31,FitGurl
Lasting Sting,2,30,Big-Life
Metal Fiber,2,400,BiNGO-BAG
Revo Reducer,2,2,Erodori
Sentient Scalpel,2,40,Drakariss88
Streamlined Form,2,1,ArkIsHere
Agile Aim,2,8,Ahtih12
Burston Prime Barrel,2,1,Broker121
Stretch,2,7,Ryuooki
Intensify,2,1,Erodori
Lex Prime Barrel,2,1,borritoeater69
Heart Nyth,2,277,antonio02dj
Stahlta Barrel,2,16,Galahdm
Stropha Stock,2,5,Oni_FakeSmile
Corpus Ship Orbital Cannon Scene,2,4,saintt14
Braton Prime Stock,2,2,Volaenyr
Sundering Weave,2,9,saminsrule
Cleaving Whirlwind,2,1,Vivrin
Blind Justice,2,1,Ryuooki
Akbolto Prime Link,2,1,Larizzl
Trapezium Xenorhast,2,93,WhiteWolfhz
Damaged Necramech Engine,2,1,Vivrin
Thermagnetic Shells,2,2,leekac
Kinetic Ricochet,2,141,Enniston
Akbronco Prime Blueprint,2,1,ShanghaiPH
Cryo Rounds,2,18,Ryuooki
Hush,2,8,Ahtih12
Metal Auger,2,6,Erodori
Master Thief,2,3,Erodori
Cabochon Embolos,2,96,WhiteWolfhz
Carnis Mandible,2,19,Ryuooki
Damaged Necramech Pod,2,1,Vivrin
Fetch,2,13,Erodori
Arcane Momentum,2,4,DreamJuno
Orvius Blade,2,1,FEH9I
Aero Periphery,2,11,Ahtih12
Seeking Fury,2,3,ReinaldoRock
Guardian,2,1,ShanghaiPH
Blood For Ammo,2,12,Ahtih12
Lato Vandal Receiver,2,1,snowballpee
Tek Collateral,2,1,eStar_99_Enpi
Energy Field,2,3,ToxicZombie2008
Wolf Sledge Handle,2,77,UltimateGrox
Marquise Thyst,2,30,ChernilZero
Hyperstrike,2,2,Ahtih12
Arcane Phantasm,2,2,kinjakou
Void Hole,2,21,Drakariss88
Stellated Necrathene,2,140,WhiteWolfhz
Carnis Carapace,2,10,DreamJuno
Corpus Depository Scene,2,6,MaxRacha
Requiem IV Relic,2,2,andreboy2
Requiem III Relic,2,84,PHR0STB1TE
Requiem II Relic,2,74,PHR0STB1TE
Requiem I Relic,2,2,andreboy2
Ostimyr,2,50,Jelanat
Vitreospina,2,40,Jelanat
Cryptosuctus,2,30,Jelanat
Duroid,2,40,Jelanat
Chondricord,2,50,Jelanat
Murkray,2,50,Jelanat
Sharrac,2,50,Jelanat
Karkina,2,60,Jelanat
Khut-Khut,2,2,lowlifecanine
Tralok,2,50,Jelanat
Mortus Lungfish,2,50,Jelanat
Glappid,2,60,Jelanat
Norg,2,50,Jelanat
Cuthol,2,50,Jelanat
Eye-Eye,2,40,Jelanat
Brickie,2,50,Jelanat
Kriller,2,50,Jelanat
Synathid,2,50,Jelanat
Charamote,2,51,Jelanat
Tromyzon,2,59,Jelanat
Recaster,2,50,Jelanat
Longwinder,2,50,Jelanat
Granum's Nemesis,2,12,DownloadMoreRAM
Onslaught Matrix,2,8,Ahtih12
Waveband Disruptor,2,5,Acro
Primary Merciless,2,10,ConjointArchon
Nagantaka Prime Receiver,2,1,TheVeganTeacher
Molt Vigor,2,4,ConjointArchon
Eternal Eradicate,2,6,AkaTsukiUsagi
Emergence Savior,2,120,ConjointArchon
Cascadia Overcharge,2,12,ConjointArchon
Eternal Onslaught,2,40,ConjointArchon
Molt Reconstruct,2,85,ConjointArchon
Eternal Logistics,2,5,DreamJuno
Cascadia Empowered,2,90,ConjointArchon
Fractalized Reset,2,80,ConjointArchon
Cascadia Accuracy,2,32,ToNStore
Conjunction Voltage,2,11,Sinjun2013
Perigale Stock,2,1,Ryuooki
Sarofang Blade,2,1,TheBassWarrior
Arcane Blessing,2,22,666xXJensyXx666
Neo C3 Relic,2,18,Kyliekins
Lith B10 Relic,2,8,Kyliekins
Afuris Prime Link,2,1,Batenha
Cobra & Crane Prime Blueprint,2,1,xXxM4L4KxXx
Hildryn Prime Systems Blueprint,2,1,VirDeBellum
Lith H8 Relic,2,6,Kyliekins
Arcane Intention,2,1,RicoPrime69
Magus Aggress,2,1,ShanghaiPH
Fulmin Prime Blueprint,2,1,fireprime1234
Fulmin Prime Stock,2,1,Radynia
Wisp Prime Neuroptics Blueprint,2,1,Akomako1234
Neo F2 Relic,2,5,Kyliekins
Wisp Prime Systems Blueprint,2,1,fireprime1234
Axi L6 Relic,2,21,alterror1
Neo Z10 Relic,2,26,ItzLyfe
Meso M4 Relic,2,22,alterror1
Grendel Prime Chassis Blueprint,2,1,Radynia
Masseter Prime Blueprint,2,1,Radynia
Zylok Prime Barrel,2,1,Lathary_
Zylok Prime Receiver,2,1,xXxM4L4KxXx
Cleanse The Murmur,2,2,Ahtih12
Atomic Fallout,2,19,Drakariss88
Accelerated Isotope,2,39,RicoPrime69
Containment Breach,2,22,RicoPrime69
Melee Retaliation,2,5,ShanghaiPH
Melee Fortification,2,10,DreamJuno
Gauss Prime Blueprint,2,1,joepppeee
Gauss Prime Chassis Blueprint,2,1,Iphonecomandroid
Meso G6 Relic,2,60,alterror1
Lith G10 Relic,2,1,NerditoBuritto
Lith P8 Relic,2,2,alterror1
Akarius Prime Link,2,1,Radynia
Critical Meltdown,2,13,RicoPrime69
Protea Prime Blueprint,2,1,ShanghaiPH
Neo M5 Relic,2,1,alterror1
Neo O2 Relic,2,1,NerditoBuritto
Meso V9 Relic,2,40,alterror1
Lith T12 Relic,2,40,alterror1
Lith P9 Relic,2,18,alterror1
Velox Prime Blueprint,2,1,krestikbuy
Okina Prime Handle,2,1,CrimZ85
Okina Prime Blade,2,1,TrapChloe
Secondary Surge,2,14,BigBubbaJukes
Sevagoth Prime Neuroptics Blueprint,2,2,NerditoBuritto
Neo A13 Relic,2,22,alterror1
Meso F5 Relic,2,6,Kyliekins
Meso N17 Relic,2,26,alterror1
Lith W4 Relic,2,3,xexu987
Nautilus Prime Carapace,2,1,TheBassWarrior
Xaku Prime Neuroptics Blueprint,2,2,krestikbuy
Trumna Prime Blueprint,2,1,TrapChloe
Quassus Prime Blueprint,2,1,PibbXtraFein
Neo G8 Relic,2,25,alterror1
Neo L4 Relic,2,42,alterror1
Meso T7 Relic,2,50,alterror1
Meso E6 Relic,2,30,BigBubbaJukes
Meso G8 Relic,2,27,BigBubbaJukes
Lith M9 Relic,2,6,Kyliekins
Lith N16 Relic,2,5,fox.h
Primary Crux,2,2,Jenesko
Melee Doughty,2,8,BigBubbaJukes
Arcane Camisado,2,8,F3mboy-Collector
Arcane Bellicose,2,4,DreamJuno
Arcane Truculence,2,2,ShanghaiPH
Magnetic Welt,2,8,leekac
Radon Claws,2,1,leekac
Magnetic Claws,2,13,RicoPrime69
Magnetic Capacity,2,8,MikulllC
Pistol Acuity,2,2,HideoRoz
Magnetic Rush,2,19,MikulllC
Worthy Comradery,2,1,LucasKonka
Cedo Prime Stock,2,1,xXxM4L4KxXx
Dual Zoren Prime Blueprint,2,1,xXxM4L4KxXx
Neo T9 Relic,2,10,Carriedjoema
Meso P15 Relic,2,49,Macreall
Quick Correct,2,13,AklarPrime
Threat Blocker,2,20,Jugadorprime
Catalyzer Link,3,2,Ahtih12
Catalyzer Link,3,2,Ahtih12
Virtuos Strike,3,10,ShadowMageAlpha
Redeemer Prime Blade,3,1,LaMambaBamba
Vaporize,3,60,BiNGO-BAG
Catalyzer Link,3,2,Ahtih12
Virtuos Strike,3,10,ShadowMageAlpha
Redeemer Prime Blade,3,1,LaMambaBamba
Swirling Tiger,3,8,Ahtih12
Polar Magazine,3,1,Ahtih12
No Return,3,22,ToxicZombie2008
Vaporize,3,60,BiNGO-BAG
Enemy Sense,3,5,RevantheCrusader
Gorgon Wraith Stock,3,2,luiz_eduardo
Shimmering Blight,3,7,Cousinit117
Magus Vigor,3,5,Orth
Shotgun Barrage,3,1,Ahtih12
Wildfire,3,1,Pichulosauriox
Crash Course,3,3,Ryuooki
Eleventh Storm,3,2,Ahtih12
Grim Fury,3,1,Acro
Frail Momentum,3,1,fox.h
Smite Corpus,3,1,Ahtih12
Blunderbuss,3,4,RevantheCrusader
Fear Sense,3,2,Big-Life
Split Chamber,3,12,Lychnitis
Tether Grenades,3,1,ShanghaiPH
Aviator,3,6,saminsrule
Swooping Falcon,3,2,ArtemisMagus
Sinister Reach,3,9,Ahtih12
Arcane Nullifier,3,1,xexu987
Arcane Victory,3,15,JoosePrime
Eject Magazine,3,3,Erodori
Vacuum,3,5,RevantheCrusader
Motus Impact,3,2,Ahtih12
Motus Setup,3,1,DownloadMoreRAM
Motus Signal,3,10,DreamJuno
Ninkondi Prime Blueprint,3,1,Bencooo
Target Cracker,3,9,Ryuooki
Arcane Ultimatum,3,11,JoosePrime
Arcane Deflection,3,4,Tigar12
Hydraulic Crosshairs,3,8,Ahtih12
Rending Turn,3,1,BlackAlbinoBoots
Barrel Diffusion,3,1,BlackAlbinoBoots
Antitoxin,3,1,Richardprvy1
Disruptor,3,30,Big-Life
Continuity,3,5,Lychnitis
Virtuos Null,3,5,Orth
Bleeding Willow,3,3,Ryuooki
Sundering Strike,3,1,Krozs_0707
Shock Absorbers,3,2,DownloadMoreRAM
Burston Prime Blueprint,3,1,NerditoBuritto
Spring-Loaded Broadhead,3,1,Hurkisq
Hikou Prime Blueprint,3,1,VirDeBellum
Gemini Cross,3,1,WekroM
Expel Corpus,3,1,Sunhawkk
Madurai Lens,3,2,Broker121
Endurance Drift,3,3,Fpidusahl
Arcane Bodyguard,3,2,sahstream666
Arcane Primary Charger,3,1,ShanghaiPH
Arcane Blade Charger,3,1,Carriedjoema
Glacial Edge,3,1,ToxicZombie2008
Runtime,3,2,Lacroxer
Bane Of Infested,3,1,Ahtih12
Argon Plating,3,1,RevantheCrusader
Seeker,3,2,Ahtih12
Killing Blow,3,2,Acro
Rebound,3,2,Acro
Virtuos Shadow,3,5,PHaraOH.A
Sawtooth Clip,3,5,DownloadMoreRAM
Thief's Wit,3,195,BiNGO-BAG
Lock And Load,3,2,Ryuooki
Section Density,3,5,saminsrule
Flow Burn,3,5,Acro
Banshee Prime Neuroptics Blueprint,3,1,Iphonecomandroid
Ayatan Vaya Sculpture,3,6,elYiorgi
Static Discharge,3,1,Hallowed_Deception
Sure Shot,3,2,Ahtih12
Furax Wraith Blueprint,3,1,PresidentBacon
Ice Spring,3,3,Ryuooki
Shattering Impact,3,4,Lathary_
Enduring Strike,3,2,Acro
Equinox Prime Chassis Blueprint,3,1,Iphonecomandroid
Cruising Speed,3,2,Ahtih12
Chilling Reload,3,5,Erodori
Relentless Combination,3,32,Ahtih12
Shotgun Ammo Mutation,3,4,Ahtih12
Proton Pulse,3,10,DreamJuno
Reflex Draw,3,10,Ahtih12
Electromagnetic Shielding,3,5,Acro
Defiled Snapdragon,3,2,Erodori
Broken War Set,3,1,TheLionOfOrange
Concussion Rounds,3,6,DreamJuno
Howl,3,1,ShadowPrime321
Hunter's Bonesaw,3,13,Acro
Extend,3,1,Frostvali
True Steel,3,3,Ahtih12
Harkonar Scope,3,9,Acro
Sporothrix Blueprint,3,2,UNSTOPPABLE420
Volatile Quick Return,3,3,Erodori
Hornet Strike,3,8,chucklemeowdoge
Synth Reflex,3,2,ArtemisMagus
Gnashing Payara,3,2,Ryuooki
Kronen Prime Blueprint,3,1,IFEELBLOOD
Retribution,3,1,DownloadMoreRAM
Shatter Burst,3,13,Acro
Breach Quanta,3,6,Acro
Atlas Prime Blueprint,3,4,EL0QUENCE
Ravage,3,3,Ahtih12
Failsafe,3,3,ShadowPrime321
Rifle Aptitude,3,3,gkenji
Lex Prime Receiver,3,1,ColinSoGoated10
Theorem Contagion,3,3,Chlebek3214
Patagium,3,1,Ahtih12
Arcane Tanker,3,1,ShanghaiPH
Predator,3,8,Ahtih12
Seeker Volley,3,86,AltCrest00
Blood For Life,3,3,saminsrule
Aksomati Prime Blueprint,3,1,kiritchigo03
Munitions Vortex,3,4,DownloadMoreRAM
Akjagara Prime Blueprint,3,7,EL0QUENCE
Necramech Blitz,3,1,WekroM
Necramech Fury,3,5,DreamJuno
Pandero Prime Blueprint,3,1,FrostyTheCow
Neo K1 Relic,3,2,Volmie
Neo B2 Relic,3,26,CakeMask
Neo S7 Relic,3,80,Macreall
Neo S11 Relic,3,6,Kyliekins
Neo A2 Relic,3,70,luiz_eduardo
Neo G1 Relic,3,2,Gold-Hay
Neo T2 Relic,3,42,CHiliPePeR58
Meso T1 Relic,3,51,Volmie
Lith C6 Relic,3,53,z3dm
Lith P5 Relic,3,5,l_--_Sikkie_--_l
Lith K2 Relic,3,26,waaalie
Lith C4 Relic,3,80,luiz_eduardo
Lith P3 Relic,3,12,Volmie
Lith D1 Relic,3,22,Volmie
Lith S8 Relic,3,24,_Mayazo_
Glutinox,3,80,Jelanat
Myxostomata,3,40,Jelanat
Charc Eel,3,21,Blau.
Worm's Torment,3,22,Drakariss88
Orgone Tuning Matrix,3,1,WekroM
Indomitable Matrix,3,4,BigBubbaJukes
Deimos Crypt Scene,3,3,Erodori
Scourge Prime Blade,3,1,TheVeganTeacher
Harrow Prime Blueprint,3,2,neonmacska
Boreal's Hatred,3,2,Sidonus
Boreal's Anguish,3,1,Legendrik
Lith C9 Relic,3,6,Edwin5535
Knell Prime Receiver,3,1,ColinSoGoated10
Garuda Prime Blueprint,3,1,MfSilou
Molt Efficiency,3,6,HashBrain
Cascadia Flare,3,1,ConjointArchon
Tatsu Prime Blueprint,3,2,Chlebek3214
Lith P6 Relic,3,6,Kyliekins
Primary Frostbite,3,2,Chlebek3214
Sarofang Set,3,1,NothingIsuseless
Perigale Barrel,3,1,Chlebek3214
Perigale Receiver,3,1,SibearPrime
Baruuk Prime Chassis Blueprint,3,1,Nking1141
Neo A8 Relic,3,5,Kyliekins
Shade Prime Blueprint,3,1,ColinSoGoated10
Shade Prime Systems,3,1,wordnA
Hildryn Prime Neuroptics Blueprint,3,1,magnus_4496
Larkspur Prime Receiver,3,1,Chlebek3214
Larkspur Prime Blueprint,3,1,Oni_FakeSmile
Lith B11 Relic,3,12,AOGIRI_TW
Primary Obstruct,3,4,_Abhishek_
Fulmin Prime Barrel,3,1,NerditoBuritto
Lith W3 Relic,3,4,Vitsofelx
Neo S18 Relic,3,3,NerditoBuritto
Grendel Prime Neuroptics Blueprint,3,1,CrimZ85
Bane Of The Murmur,3,18,RicoPrime69
Radiated Reload,3,34,Drakariss88
Expel The Murmur,3,2,Ahtih12
Focus Radon,3,7,Drakariss88
Mandonel Blueprint,3,2,UNSTOPPABLE420
Mandonel Barrel,3,2,EmErDogi2
Mandonel Receiver,3,1,EmErDogi2
Mandonel Stock,3,1,EmErDogi2
Melee Vortex,3,4,Mushy056
Meso B9 Relic,3,33,ItzLyfe
Lith A6 Relic,3,1,NerditoBuritto
Akarius Prime Barrel,3,1,SirJonas.
Melee Afflictions,3,8,Yishi_
Nautilus Prime Systems,3,1,neonmacska
Balanced Posture,3,10,TenseiStar
Trumna Prime Stock,3,1,ColinSoGoated10
Neo W2 Relic,3,100,aWenyyds
Arcane Crepuscular,3,6,BigBubbaJukes
Arcane Impetus,3,7,BigBubbaJukes
Secondary Enervate,3,8,BigBubbaJukes
Primary Acuity,3,10,wabi-sabo
Summoner’s Wrath,3,5,Lilskrimp93
Magnetized Cycle,3,2,ShanghaiPH
Magnetized Core,3,1,Tevis17
Lith S16 Relic,3,15,hii333
Lith L5 Relic,3,13,DBCMallard
Hunter Adrenaline,4,1,WekroM
Quick Thinking,4,2,sleepcall
Hunter Adrenaline,4,1,WekroM
Quick Thinking,4,2,sleepcall
Pummel,4,4,Ryuooki
Dig,4,1,ShanghaiPH
Rift Strike,4,2,Acro
Ninkondi Prime Chain,4,1,fireprime1234
Arcane Resistance,4,1,taufiq9955
War Blade,4,1,kazemon
Steel Fiber,4,10,RevantheCrusader
Helios Prime Carapace,4,1,TrapChloe
Lightning Dash,4,1,Big-Life
Fatal Attraction,4,1,WekroM
Modified Munitions,4,1,Raidibotti
Flechette,4,20,Big-Life
Pyrana Prime Barrel,4,1,TrapChloe
Arcane Pulse,4,3,DreamJuno
Lethal Momentum,4,1,xexu987
Unleashed,4,1,Ahtih12
War Hilt,4,7,lilaxell
Razor Shot,4,50,Big-Life
Ayatan Orta Sculpture,4,7,Zee-WF
Convulsion,4,3,DreamJuno
Rapid Resilience,4,1,BlackAlbinoBoots
Pathogen Rounds,4,7,Ryuooki
Tempered Blade,4,1,WekroM
Narrow Barrel,4,1,Lathary_
Enhanced Durability,4,1,WekroM
Tranquil Cleave,4,3,CSBradley
Aero Vantage,4,4,DownloadMoreRAM
Expel Infested,4,1,Sunhawkk
Sniper Ammo Mutation,4,7,RevantheCrusader
Seeking Force,4,4,Ryuooki
Provoked,4,1,Erza323
Eagle Eye,4,2,DownloadMoreRAM
Grineer Settlement Artillery Scene,4,6,BigBubbaJukes
Augur Message,4,10,DreamJuno
Euphona Prime Blueprint,4,1,Chlebek3214
Perpetual Agony,4,28,DownloadMoreRAM
Armored Agility,4,1,LucasKonka
Maiming Strike,4,1,Ryuooki
Smite Infested,4,7,RevantheCrusader
Melee Riven Mod (Veiled),4,1,Glokame
Enhanced Vitality,4,100,BiNGO-BAG
Vigilante Armaments,4,7,snowballpee
Sybaris Prime Blueprint,4,1,Silent-Lamb
Virtuos Fury,4,15,Zorayas
Virtuos Ghost,4,5,Orth
Gladiator Aegis,4,5,Zollikami
Stabilizer,4,3,Erodori
Rubedo-Lined Barrel,4,7,Ahtih12
Smite Grineer,4,12,RevantheCrusader
Soft Hands,4,1,Zecqi
Tactical Reload,4,1,Erodori
Arcane Agility,4,65,Kapeika6
Pounce,4,4,Schizobia
Sharpened Claws,4,10,DreamJuno
Melee Guidance,4,4,VeridicalSeeker
Dethcube Prime Carapace,4,1,Oaethe
Limbo Prime Systems Blueprint,4,3,neonmacska
Stradavar Prime Receiver,4,1,Shaddock223
Spry Sights,4,3,Ahtih12
Ayatan Valana Sculpture,4,2,RushoBinnabi
Rending Strike,4,1,Carriedjoema
Brutal Tide,4,8,Cousinit117
Void Cloak,4,2,Acro
Countermeasures,4,1,WekroM
Cat's Eye,4,1,ShanghaiPH
Mischief,4,2,Carriedjoema
Double-Barrel Drift,4,6,.Flaske.
Gorgon Wraith Blueprint,4,1,ShadowPrime321
Argon Scope,4,1,Shadowfoxbrown
Mantis Engines Blueprint,4,1,EmErDogi2
Deep Freeze,4,6,RevantheCrusader
Physique,4,1,GirthEmperor
Euphona Prime Barrel,4,1,TheBassWarrior
Morphic Transformer,4,1,Krozs_0707
Mantis Avionics Blueprint,4,1,Chlebek3214
Drifting Contact,4,2,Casteru
Cernos Prime Blueprint,4,1,Silent-Lamb
Enduring Affliction,4,1,Acro
Ayatan Ayr Sculpture,4,3,Medjhail
Inaros Prime Chassis Blueprint,4,1,TemvipWF
Karyst Prime Handle,4,3,Setsuna_x3
Panthera Prime Blueprint,4,1,Prototipogamers
Poisonous Sting,4,1,gkenji
Valkyr Prime Blueprint,4,1,wordnA
Loyal Companion,4,4,Schizobia
Decisive Judgement,4,2,VeridicalSeeker
Auxiliary Power,4,1,ShanghaiPH
Scavenge,4,40,BiNGO-BAG
Crowd Dispersion,4,2,RevantheCrusader
Full Contact,4,10,DreamJuno
Hunter Track,4,1,WekroM
Hunter Command,4,1,WekroM
Gorgon Wraith Barrel,4,1,DevilTailP
Ayatan Sah Sculpture,4,1,Medjhail
Reflect,4,3,Ragnargh
Parry,4,25,BiNGO-BAG
Collision Force,4,8,Yishi_
Broad Eye,4,1,Zecqi
Silent Battery,4,5,saminsrule
Focused Defense,4,3,snowballpee
Sheev Blade,4,1,UltimateGrox
Snipetron Vandal Blueprint,4,1,FrostyTheCow
Animal Instinct,4,10,Pichulosauriox
Tekko Prime Blueprint,4,1,Silent-Lamb
Necramech Redirection,4,3,DreamJuno
Saxum Carapace,4,1,Lacroxer
