Login,Anmelden
"Loading challenge...","Lade Prüfung..."
"Select the image displayed the <u>least</u> amount of times","Wähle das am <u>seltensten</u> vorkommende Bild"
"Verification complete.","Erfolgreich verifiziert."
"Uh oh.","Oh oh."
"You've selected the wrong image.","Du hast das falsche Bild gewählt."
"Please wait.","Bitte warten."
"You made too many incorrect selections.","Du hast zu oft falsch gewählt."
"Custom Name","Benutzerdefinierter Name"
"ExampleName123","BeispielName123"
"Ready","Fertig"
"Cancel","Abbruch"
